x,y,tempo
1135.45468043921,147.36873548418,10:00:30:005
1136.15535019741,146.759880680489,10:00:30:008
1136.88262157166,146.318478626606,10:00:30:025
1137.14795891026,146.288295031997,10:00:30:029
1137.18460684213,146.014412387737,10:00:30:043
1136.4086297642,143.285389133443,10:00:30:054
1135.5806492515,138.523690105038,10:00:30:062
1130.19425398513,135.117730279498,10:00:30:074
1131.89840683408,136.41987016018,10:00:30:088
1118.74526242812,139.628999566677,10:00:30:096
1019.43204422514,153.903957650925,10:00:30:108
605.740841710008,197.322351791036,10:00:30:124
602.29514132937,197.470585700822,10:00:30:131
593.460020015723,198.375462684975,10:00:30:141
586.918359451025,199.028106842038,10:00:30:157
576.310757109992,200.51887158922,10:00:30:163
566.966458222144,201.255503857956,10:00:30:175
551.470475441492,201.420397608202,10:00:30:192
542.919028846584,200.90403030231,10:00:30:196
544.151451539738,202.871733170614,10:00:30:210
544.523215873135,204.622194971262,10:00:30:221
544.469969669224,203.229737303882,10:00:30:230
543.203732939527,203.658340061512,10:00:30:292
541.88913925446,202.442942205446,10:00:30:295
541.419584775824,202.888416765459,10:00:30:299
534.305457927335,204.305280521884,10:00:30:301
498.079067550851,211.402307437849,10:00:30:303
497.316173597698,209.656564578475,10:00:30:304
444.476398286959,214.909795314822,10:00:30:308
396.181603065705,219.148769872951,10:00:30:319
354.642872509401,224.198458731889,10:00:30:329
334.683147067714,227.098342161926,10:00:30:341
311.359317921179,231.432872914512,10:00:30:353
215.224223111025,241.961065906164,10:00:30:361
193.626121362171,244.540452322477,10:00:30:374
191.945398293219,243.847826169834,10:00:30:385
197.606714181454,248.667052971006,10:00:30:395
192.408588242815,246.387361755023,10:00:30:407
191.987968100731,245.94858449631,10:00:30:423
187.66166192893,244.11625720655,10:00:30:428
185.61482617018,245.587487053042,10:00:30:454
186.282996263668,250.250528333265,10:00:30:466
186.511449597168,247.617700569022,10:00:30:469
186.861828740384,247.345766077804,10:00:30:474
183.854772360034,242.410638791169,10:00:30:485
166.285644583322,213.474296967213,10:00:30:495
160.420113098639,211.762917613595,10:00:30:507
159.770121792833,211.763155345238,10:00:30:519
159.455298749837,211.960758629005,10:00:30:529
160.42527253295,213.715974009635,10:00:30:541
160.036002808457,213.047421812013,10:00:30:552
155.709302928311,209.17611494176,10:00:30:562
161.112275642898,216.39480881745,10:00:30:576
158.535899649971,213.455472554686,10:00:30:587
156.456151649053,210.402632266671,10:00:30:595
154.170770405275,208.115400346442,10:00:30:607
150.751617101232,206.51861456699,10:00:30:619
149.848433533127,205.767014992923,10:00:30:629
149.257027358689,204.240109670463,10:00:30:641
148.142669002674,201.661953209804,10:00:30:652
148.842127064081,203.528623946894,10:00:30:662
148.29852159627,203.893480359758,10:00:30:674
149.516696176052,204.491705480371,10:00:30:686
150.652152618194,204.942288219886,10:00:30:695
151.432223829624,204.322060613458,10:00:30:707
149.87008592562,207.049974448688,10:00:30:719
151.470253112957,204.325278159533,10:00:30:728
162.188207965166,223.25546201164,10:00:30:740
164.113742471502,228.50758886271,10:00:30:752
159.962824080296,221.352673034709,10:00:30:761
160.627436721771,221.293824908001,10:00:30:773
158.96243096243,218.754991584567,10:00:30:785
158.444299671672,218.707216585983,10:00:30:795
159.301218798103,221.791633531843,10:00:30:807
158.177548329351,226.10945847528,10:00:30:818
154.931039750712,218.69038404175,10:00:30:828
148.789282555583,207.09193132685,10:00:30:841
139.880295069599,188.661481806509,10:00:30:852
142.621720271917,193.894492255274,10:00:30:862
151.736245180983,201.45623981511,10:00:30:874
154.077194529471,205.525548675017,10:00:30:885
156.15395585134,209.406127769172,10:00:30:895
155.28701178418,212.345461319934,10:00:30:907
157.893154072434,216.097376777707,10:00:30:918
159.328163631924,218.011026383437,10:00:30:928
165.622777352859,223.681077557574,10:00:30:940
163.560795736353,223.629828130582,10:00:30:952
163.438024604315,223.950366747607,10:00:30:962
163.006405581738,224.641078334234,10:00:30:973
158.404713570225,234.763718754221,10:00:30:985
147.54779887372,215.404735727693,10:00:30:996
137.349358466082,190.286314377907,10:00:31:007
132.035255279424,179.692503294517,10:00:31:018
125.270274474255,169.39745130917,10:00:31:028
117.486498078849,160.030313973175,10:00:31:044
114.790658111206,155.400711613304,10:00:31:056
174.089652556618,218.39581646188,10:00:31:062
177.269900201193,219.770753914836,10:00:31:075
155.204645175614,192.251407168426,10:00:31:086
165.071255822148,211.316274182021,10:00:31:096
165.177832749637,213.630663594319,10:00:31:106
165.070487385236,217.009808446914,10:00:31:118
165.591057382552,220.653927090428,10:00:31:128
165.992160013399,224.449708874651,10:00:31:140
165.206951118456,227.964957920807,10:00:31:151
158.560381807275,225.368570565216,10:00:31:162
157.072126278504,226.117751489166,10:00:31:173
157.860145466437,230.986916143818,10:00:31:187
149.596901165215,222.622317439827,10:00:31:195
131.914737801147,193.666006140073,10:00:31:207
126.58775882629,184.994752514392,10:00:31:218
132.354707111748,195.608058934038,10:00:31:228
153.660917240667,216.257732494097,10:00:31:244
200.256186972427,225.957961045803,10:00:31:251
229.158067668903,232.956298758412,10:00:31:270
266.250283776038,235.041176794575,10:00:31:280
281.766449442444,233.024351816389,10:00:31:285
294.387971238476,231.050142359354,10:00:31:295
298.127941948929,231.831536076423,10:00:31:306
302.327431522829,223.061713749657,10:00:31:318
303.685168890091,223.396827456607,10:00:31:328
315.609925366417,223.757027050651,10:00:31:342
317.635453919237,228.582481183918,10:00:31:353
317.861250921546,230.948199644086,10:00:31:362
318.344078320811,232.144260145646,10:00:31:375
311.428160802913,239.423004098842,10:00:31:386
308.277319922353,235.892747109844,10:00:31:395
305.964528379763,228.451843176901,10:00:31:407
302.564643419256,208.798186764415,10:00:31:419
307.909190792957,211.957715883512,10:00:31:435
311.726541063688,212.656498361309,10:00:31:441
304.886342266343,219.580607024068,10:00:31:453
262.368945057634,259.85121011498,10:00:31:462
260.487989919753,260.384284405949,10:00:31:475
246.616538800667,268.18673004439,10:00:31:486
240.89183863967,271.804054975439,10:00:31:495
222.283995219794,279.746334939579,10:00:31:508
205.964201066946,280.939306672053,10:00:31:519
204.653274697654,280.528329757389,10:00:31:530
202.584220358169,280.900265277744,10:00:31:540
191.905725633283,284.784786399895,10:00:31:551
188.858475380147,283.343368264123,10:00:31:561
185.875130114926,283.616810791954,10:00:31:573
185.7897366298,281.36816578844,10:00:31:584
184.423524963994,278.242015110327,10:00:31:594
182.445399594326,274.283041317822,10:00:31:606
180.576322062875,271.82095549812,10:00:31:618
182.170125731197,271.594086428806,10:00:31:628
180.775573800211,271.386054904449,10:00:31:639
177.344055992057,266.082793917217,10:00:31:651
176.055306584932,262.597950079854,10:00:31:661
164.417312825854,230.203080068618,10:00:31:673
152.995239462026,200.599153203011,10:00:31:685
150.981167062931,194.494559187427,10:00:31:695
143.250678003161,180.979996953666,10:00:31:706
140.716498211546,176.791655008137,10:00:31:718
138.303596206182,169.233096150233,10:00:31:729
134.544422720515,163.029201250325,10:00:31:740
132.665642952686,161.520144764596,10:00:31:751
131.749498240297,160.602424262954,10:00:31:762
133.092839350337,163.834766746671,10:00:31:774
