x,y,tempo
1143.70860929476,101.632434884459,15:00:07:001
1143.48243539404,100.922950862034,15:00:07:012
1141.82860330415,101.972266089304,15:00:07:022
1140.2898016647,102.982281460369,15:00:07:034
1140.50279452672,103.937721747502,15:00:07:045
1141.76998378451,104.92866190063,15:00:07:055
1142.46631273329,105.904900159919,15:00:07:067
1143.1807161658,105.613449275777,15:00:07:078
1143.36480618209,105.665885761605,15:00:07:089
1143.45800109748,105.376225930317,15:00:07:100
1141.87824509497,105.595570952499,15:00:07:111
1142.07959393814,105.887287971775,15:00:07:121
1142.35527627993,105.922304146849,15:00:07:133
1142.73474528773,106.403069354221,15:00:07:144
1141.22121495831,105.559171165932,15:00:07:155
1140.32604455323,105.183636006979,15:00:07:166
1139.81568346028,105.685226956846,15:00:07:178
1135.73930772856,109.78772326131,15:00:07:188
1134.28357639613,113.078522103215,15:00:07:200
1134.56549394907,113.054607534841,15:00:07:211
1141.50211043189,117.168275015045,15:00:07:221
1140.94036620402,115.985991440292,15:00:07:233
1141.2414436911,116.033026258624,15:00:07:246
1141.4352984909,115.985633383377,15:00:07:261
1142.67152078236,116.965773332167,15:00:07:270
1142.56109012224,117.054608730058,15:00:07:281
1142.49997430243,118.672828954637,15:00:07:292
1143.16997283638,119.328480380969,15:00:07:303
1144.02208525679,120.591439095702,15:00:07:348
1143.85680826822,120.584164795946,15:00:07:351
1144.39940359874,121.505344686498,15:00:07:362
1143.55393664268,121.544098817478,15:00:07:363
1143.49554022131,122.109683786475,15:00:07:364
1142.18357888706,123.004101672558,15:00:07:372
1142.6031010117,123.483429947161,15:00:07:384
1142.46385196189,123.931959113021,15:00:07:395
1141.83752270976,124.500404304093,15:00:07:402
1143.25031376692,126.264552629714,15:00:07:416
1144.44854219953,127.462800308048,15:00:07:422
1144.49118471728,127.358127020101,15:00:07:434
1144.54843784015,125.960874861537,15:00:07:449
1136.5977847781,126.179737270099,15:00:07:455
1136.18068169864,126.588914253001,15:00:07:467
1135.81263115474,126.629759123525,15:00:07:480
1136.08673680272,126.383164598848,15:00:07:489
1136.05274949388,125.566282209891,15:00:07:501
1135.71660106898,125.325865512246,15:00:07:512
1135.25192719429,124.852466432904,15:00:07:521
1137.52706584137,126.752618934843,15:00:07:563
1135.74823943226,125.70582294624,15:00:07:564
1135.16968534745,125.545911302322,15:00:07:569
1135.59606762716,125.435802879717,15:00:07:583
1136.13873437118,125.977884610428,15:00:07:597
1139.40978487239,127.489585074127,15:00:07:606
1139.41398684978,126.930974034885,15:00:07:612
1139.96595094543,126.068329162249,15:00:07:655
1140.9117252234,125.709488084769,15:00:07:659
1141.34457089662,125.42749070768,15:00:07:660
1141.47863797968,125.043750691694,15:00:07:663
1134.90763298462,126.293496955295,15:00:07:666
986.92943876044,158.706016033186,15:00:07:677
792.801756370365,203.292979363362,15:00:07:687
686.582613812473,233.808499951883,15:00:07:699
550.268819568182,276.204232474358,15:00:07:721
482.358429802007,293.284622933503,15:00:07:733
446.882541050713,300.982951975352,15:00:07:744
425.573631776829,300.353334273059,15:00:07:755
252.309563088011,348.736596666544,15:00:07:766
148.096308777479,340.764078535193,15:00:07:778
133.696876964369,296.287013322933,15:00:07:788
136.616422801412,271.836647257768,15:00:07:800
121.698611313207,297.399540071639,15:00:07:811
109.131895096176,317.320959306635,15:00:07:821
120.213518664468,315.503744874561,15:00:07:834
131.736399015176,277.699061577733,15:00:07:850
137.717600366674,248.809160518218,15:00:07:861
144.455876371437,201.577343569241,15:00:07:868
140.926044488573,197.915726149718,15:00:07:878
140.558846917924,197.83274952712,15:00:07:887
140.419568740148,197.8533280728,15:00:07:899
153.833462820396,193.643909618405,15:00:07:911
158.829910022799,191.58794782956,15:00:07:921
157.869262420553,192.370026620937,15:00:07:932
160.432462960471,192.658780548295,15:00:07:944
160.584225009039,194.482593969238,15:00:07:954
162.333939421524,197.525439070052,15:00:07:966
167.836616383296,201.264391383469,15:00:08:008
166.355751333832,197.99306687752,15:00:08:014
216.942718919687,193.500397315095,15:00:08:021
238.324197196588,190.73371347603,15:00:08:022
258.355023610274,188.149785862382,15:00:08:026
275.783150902699,185.685918664549,15:00:08:033
298.131366112368,182.665698382641,15:00:08:044
310.645781786283,181.451189100197,15:00:08:054
335.297076061896,177.565318645536,15:00:08:066
334.925712476079,176.653384060771,15:00:08:077
335.445312765264,176.934508491511,15:00:08:089
334.744213160028,177.304092319387,15:00:08:100
335.007171212096,177.481332951006,15:00:08:112
335.287375011727,177.094361350311,15:00:08:123
335.280625979563,174.814153849039,15:00:08:134
334.208525489062,171.574542954541,15:00:08:145
332.890764644479,169.786060393478,15:00:08:156
333.461521920455,168.451308445563,15:00:08:167
336.540149525446,164.78296789826,15:00:08:178
338.422679300789,163.943605677203,15:00:08:189
338.610064757596,164.206658331312,15:00:08:213
337.202541951095,165.490538831878,15:00:08:214
336.343814672135,166.273271049425,15:00:08:221
239.652980446262,256.150856210529,15:00:08:233
239.557916613512,256.507089408037,15:00:08:245
237.54270416043,258.709781215752,15:00:08:263
235.825975383857,261.295507501679,15:00:08:269
233.560758805651,264.008834404195,15:00:08:278
227.452609314297,269.981488589134,15:00:08:288
234.890920676922,272.426849141256,15:00:08:299
235.114628990453,273.217899912761,15:00:08:311
231.931585594765,273.564031079228,15:00:08:321
231.661006456518,273.610598027347,15:00:08:333
229.855891841256,274.072915192043,15:00:08:344
229.156478688875,274.12200242584,15:00:08:355
225.864545207892,273.030451655211,15:00:08:366
223.388856762698,271.045911169612,15:00:08:378
222.560076138049,269.534057414466,15:00:08:387
