x,y,tempo
630.975248383133,159.919864887121,09:26:45:005
617.786688695325,131.567364210461,09:26:45:019
617.01830059345,128.588376017793,09:26:45:029
613.390058657115,125.896777348176,09:26:45:039
612.362379004452,124.666702260342,09:26:45:052
612.320373852881,125.453352613299,09:26:45:061
613.082562669139,125.733101900035,09:26:45:073
613.93899926024,126.540427742876,09:26:45:084
614.392739943884,126.991218054047,09:26:45:095
618.0808779628,128.283375598501,09:26:45:106
621.306737690424,129.101072931653,09:26:45:118
621.488402627971,128.870267675026,09:26:45:128
620.827345270357,129.086123085472,09:26:45:141
616.291833220385,132.121259844248,09:26:45:152
616.354274018874,131.912343006703,09:26:45:189
560.593380914644,145.185956763488,09:26:45:193
542.226171554273,149.324617067661,09:26:45:199
481.433549279063,161.097263339731,09:26:45:205
435.085304041719,173.605099674452,09:26:45:223
416.50495389484,179.154299703463,09:26:45:226
399.39537641387,184.826189907772,09:26:45:228
383.869316438561,189.821877546826,09:26:45:242
397.511067177346,186.977775000273,09:26:45:250
289.699993713676,215.00049231799,09:26:45:261
289.597113069381,211.99629059513,09:26:45:273
292.108984301658,214.022257818019,09:26:45:285
291.125894740776,216.856008507415,09:26:45:293
291.637080429788,218.519098921427,09:26:45:308
292.128507081131,218.181904623941,09:26:45:318
293.104008053672,217.270278782652,09:26:45:328
292.893328632133,216.384313325964,09:26:45:342
292.707761856405,215.948257765466,09:26:45:351
291.717922978924,217.163787311039,09:26:45:361
291.766935827866,217.875052931478,09:26:45:376
291.91796388975,223.188040897191,09:26:45:386
292.037610666206,223.431628751083,09:26:45:396
292.635349264597,224.054101820115,09:26:45:408
293.212537585685,223.979263266262,09:26:45:421
293.904200114208,224.166960553235,09:26:45:426
294.775515957281,223.639205472777,09:26:45:440
295.092633888044,223.963465255234,09:26:45:450
295.810256490952,224.296495120489,09:26:45:462
296.267412325733,224.785237543748,09:26:45:485
297.870027341421,226.771999051669,09:26:45:496
298.358300808512,227.366591922717,09:26:45:503
299.057824737174,227.773580599913,09:26:45:505
299.312466696136,227.685415017794,09:26:45:516
299.949861808406,226.483674910182,09:26:45:527
299.375199585678,225.735619054966,09:26:45:537
298.99610089061,224.974158185585,09:26:45:549
294.02581514314,215.835567935509,09:26:45:559
283.353972344412,196.249926672752,09:26:45:573
273.114624100106,172.346266332036,09:26:45:583
272.354480375799,169.796472410604,09:26:45:594
271.045471934195,165.108742814406,09:26:45:604
269.931267184877,162.416945702946,09:26:45:616
268.961036115046,159.855950114138,09:26:45:626
267.759176691392,157.278233259943,09:26:45:637
268.208867436996,156.235338513774,09:26:45:650
266.60906775435,157.45879008949,09:26:45:660
268.125944649131,159.513722987739,09:26:45:672
267.852930095466,160.615436692759,09:26:45:683
267.355999503092,161.355318060418,09:26:45:693
267.747037621183,161.607099128874,09:26:45:704
268.036876583499,162.370366190045,09:26:45:716
268.914203233975,163.622022334893,09:26:45:727
269.900419501075,164.009295998712,09:26:45:738
270.31299363214,164.244073939131,09:26:45:749
271.14411693274,162.367793287615,09:26:45:759
276.440436437601,157.313449831837,09:26:45:771
288.238044142013,148.735606985115,09:26:45:784
289.748003342263,147.169175299161,09:26:45:792
290.870624147311,147.135319205039,09:26:45:804
292.176231229962,147.63424074789,09:26:45:817
294.074465968175,149.145046199352,09:26:45:826
294.939806315765,149.388658157017,09:26:45:841
296.875297086863,151.114354680656,09:26:45:849
297.789456564412,152.854695965101,09:26:45:860
297.43234289338,152.918511651706,09:26:45:870
298.797217957408,154.52115723144,09:26:45:884
