participant,task,total_points,upper region, points in upper region,% upper region,lower region,points in lower region,% lower region,critic region,points in critic region,% critic region,entries in critic region
147,AV1.1,69,[0-681],26,0.37681159420289856,[715-1079],26,0.37681159420289856,[682-714],17,0.2463768115942029,5
147,LACF2.2,31,[0-517],5,0.16129032258064516,[693-1079],13,0.41935483870967744,[518-692],12,0.3870967741935484,5
147,CO2.2,34,[0-412],7,0.20588235294117646,[658-1079],22,0.6470588235294118,[413-657],3,0.08823529411764706,1
153,CO1.2,89,[0-318],6,0.06741573033707865,[682-1079],40,0.449438202247191,[319-681],43,0.48314606741573035,7
153,AV2.1,42,[0-648],7,0.16666666666666666,[682-1079],25,0.5952380952380952,[649-681],10,0.23809523809523808,6
153,LACF1.2,198,[0-692],41,0.20707070707070707,[798-1079],101,0.51010101010101,[693-797],56,0.2828282828282828,19
153,LACF2.1,278,[0-692],123,0.44244604316546765,[728-1079],100,0.3597122302158273,[693-727],54,0.19424460431654678,37
153,AV1.2,180,[0-582],32,0.17777777777777778,[715-1079],61,0.3388888888888889,[583-714],87,0.48333333333333334,16
153,CO2.1,413,[0-727],204,0.4939467312348668,[763-1079],114,0.27602905569007263,[728-762],95,0.23002421307506055,35
135,AV1.2,243,[0-582],60,0.24691358024691357,[715-1079],54,0.2222222222222222,[583-714],129,0.5308641975308642,23
135,AV2.1,25,[0-648],11,0.44,[682-1079],12,0.48,[649-681],1,0.04,1
135,LACF1.2,147,[0-692],22,0.14965986394557823,[798-1079],91,0.6190476190476191,[693-797],34,0.23129251700680273,17
135,LACF2.1,270,[0-692],99,0.36666666666666664,[728-1079],66,0.24444444444444444,[693-727],105,0.3888888888888889,51
135,CO1.2,57,[0-318],2,0.03508771929824561,[682-1079],16,0.2807017543859649,[319-681],39,0.6842105263157895,4
135,CO2.1,61,[0-727],17,0.2786885245901639,[763-1079],28,0.45901639344262296,[728-762],14,0.22950819672131148,6
149,AV1.2,50,[0-582],14,0.28,[715-1079],17,0.34,[583-714],19,0.38,1
149,LACF2.1,148,[0-692],13,0.08783783783783784,[728-1079],43,0.2905405405405405,[693-727],92,0.6216216216216216,19
149,AV2.1,41,[0-648],6,0.14634146341463414,[682-1079],28,0.6829268292682927,[649-681],7,0.17073170731707318,3
149,LACF1.2,65,[0-692],10,0.15384615384615385,[798-1079],43,0.6615384615384615,[693-797],12,0.18461538461538463,5
149,CO2.1,165,[0-727],12,0.07272727272727272,[763-1079],86,0.5212121212121212,[728-762],67,0.40606060606060607,17
149,CO1.2,50,[0-318],2,0.04,[682-1079],21,0.42,[319-681],27,0.54,4
167,AV2.1,39,[0-648],2,0.05128205128205128,[682-1079],25,0.6410256410256411,[649-681],12,0.3076923076923077,6
167,AV1.2,112,[0-582],52,0.4642857142857143,[715-1079],27,0.24107142857142858,[583-714],33,0.29464285714285715,12
167,LACF2.1,166,[0-692],18,0.10843373493975904,[728-1079],41,0.2469879518072289,[693-727],107,0.6445783132530121,22
167,CO1.2,42,[0-318],1,0.023809523809523808,[682-1079],26,0.6190476190476191,[319-681],15,0.35714285714285715,5
167,CO2.1,43,[0-727],2,0.046511627906976744,[763-1079],25,0.5813953488372093,[728-762],16,0.37209302325581395,4
167,LACF1.2,23,[0-692],8,0.34782608695652173,[798-1079],9,0.391304347826087,[693-797],6,0.2608695652173913,3
139,CO1.2,41,[0-318],2,0.04878048780487805,[682-1079],22,0.5365853658536586,[319-681],17,0.4146341463414634,4
139,CO2.1,250,[0-727],27,0.108,[763-1079],61,0.244,[728-762],162,0.648,28
139,AV1.2,63,[0-582],25,0.3968253968253968,[715-1079],20,0.31746031746031744,[583-714],18,0.2857142857142857,2
139,AV2.1,61,[0-648],9,0.14754098360655737,[682-1079],33,0.5409836065573771,[649-681],19,0.3114754098360656,6
139,LACF1.2,167,[0-692],31,0.18562874251497005,[798-1079],79,0.47305389221556887,[693-797],57,0.3413173652694611,20
139,LACF2.1,106,[0-692],7,0.0660377358490566,[728-1079],31,0.29245283018867924,[693-727],68,0.6415094339622641,8
159,CO1.2,137,[0-318],8,0.058394160583941604,[682-1079],71,0.5182481751824818,[319-681],58,0.4233576642335766,12
159,AV1.2,72,[0-582],13,0.18055555555555555,[715-1079],42,0.5833333333333334,[583-714],16,0.2222222222222222,4
159,LACF1.2,85,[0-692],5,0.058823529411764705,[798-1079],71,0.8352941176470589,[693-797],8,0.09411764705882353,4
159,CO2.1,72,[0-727],10,0.1388888888888889,[763-1079],28,0.3888888888888889,[728-762],34,0.4722222222222222,5
159,LACF2.1,167,[0-692],32,0.19161676646706588,[728-1079],54,0.32335329341317365,[693-727],81,0.48502994011976047,21
159,AV2.1,69,[0-648],6,0.08695652173913043,[682-1079],47,0.6811594202898551,[649-681],16,0.2318840579710145,6
131,CO1.1,46,[0-648],2,0.043478260869565216,[682-1079],24,0.5217391304347826,[649-681],20,0.43478260869565216,8
131,LACF2.2,29,[0-517],1,0.034482758620689655,[693-1079],18,0.6206896551724138,[518-692],10,0.3448275862068966,4
131,AV1.1,51,[0-681],16,0.3137254901960784,[715-1079],20,0.39215686274509803,[682-714],15,0.29411764705882354,5
131,CO2.2,42,[0-412],3,0.07142857142857142,[658-1079],24,0.5714285714285714,[413-657],15,0.35714285714285715,5
