x,y,tempo
674.546686186506,453.637472308101,19:18:26:002
678.750495037869,452.954764066231,19:18:26:020
680.836293238865,452.581996502034,19:18:26:023
684.356021590604,453.297117066691,19:18:26:034
686.889544446767,453.589232154644,19:18:26:045
689.544377823483,452.995967029546,19:18:26:055
690.678968393402,451.211282908693,19:18:26:069
690.598905859737,451.13225815681,19:18:26:083
691.048400612658,451.595248524329,19:18:26:098
691.341815777324,456.882796812867,19:18:26:104
690.325333978686,455.080432060237,19:18:26:111
688.265826004116,454.698585678151,19:18:26:122
689.42515490892,455.470314924433,19:18:26:135
689.135305861131,455.486232182897,19:18:26:144
682.575156164037,455.649171330569,19:18:26:155
343.983202310239,449.671197367152,19:18:26:167
304.472108306856,450.11537522821,19:18:26:178
291.07257480473,450.148222265502,19:18:26:188
280.341840134406,450.185984278641,19:18:26:200
269.830030377866,450.378405470336,19:18:26:211
258.907692817854,451.085788425156,19:18:26:222
254.777297018653,452.781490426209,19:18:26:233
250.1424296159,454.78230659618,19:18:26:245
251.038329495914,457.158186672837,19:18:26:255
251.026238970123,456.967602291515,19:18:26:268
250.008413584803,458.571297644418,19:18:26:278
251.713847763881,454.587342092465,19:18:26:290
252.596273839255,453.878552116171,19:18:26:300
252.834002839249,453.943996797219,19:18:26:310
252.780067664655,455.198268619367,19:18:26:321
251.622448406044,456.12840020488,19:18:26:333
251.814427129904,456.467708760109,19:18:26:344
252.15172460596,456.51088292553,19:18:26:354
252.393640619373,456.752235777473,19:18:26:367
252.987255293848,458.249115431065,19:18:26:377
253.080489008304,458.337393358586,19:18:26:388
252.490602553875,459.646632476401,19:18:26:401
251.217779999976,459.087287215442,19:18:26:465
250.452467209719,457.505370212951,19:18:26:468
250.403405897058,456.468383754172,19:18:26:470
250.518748481928,456.777935513655,19:18:26:471
250.236451745604,454.264948357447,19:18:26:472
250.244606805918,452.844744431797,19:18:26:474
250.63780038861,452.304748485897,19:18:26:477
251.267363150759,455.557028762723,19:18:26:488
251.471488503871,456.457169157756,19:18:26:500
