x,y,tempo
1118.53604972575,133.698132846895,15:20:04:001
1120.48658310718,133.592702532815,15:20:04:011
1121.29095030786,134.088811484654,15:20:04:023
1121.41990238235,134.534429571094,15:20:04:033
1122.46480922671,134.656784799486,15:20:04:046
1123.5066803391,134.923605773927,15:20:04:058
1124.79410061568,135.458105125683,15:20:04:068
1125.22362159794,136.26445709806,15:20:04:078
1126.18563134226,136.531282835376,15:20:04:091
1126.85549266335,135.449194855801,15:20:04:101
1126.65004176476,134.451171545373,15:20:04:112
1126.96650323014,134.186793704928,15:20:04:123
1127.29903285206,133.638529637096,15:20:04:133
1128.14195013084,136.004874720866,15:20:04:145
1128.15394986183,135.443107825393,15:20:04:156
1120.10978639194,134.97356873094,15:20:04:166
911.073897038636,136.230203625529,15:20:04:178
777.959723489387,141.425989562449,15:20:04:192
748.651055675534,143.59285013652,15:20:04:201
725.083719601579,144.363650548008,15:20:04:213
708.22999487493,144.911378546455,15:20:04:225
692.358730140097,145.181393575044,15:20:04:235
689.402573062127,145.367048886276,15:20:04:246
688.656075470276,145.771504256161,15:20:04:257
683.685305613315,145.654219533075,15:20:04:268
682.982366512922,144.471346174358,15:20:04:280
680.222982403758,143.831203045747,15:20:04:292
681.448113492096,144.014047032003,15:20:04:301
682.36356577265,144.168947449201,15:20:04:318
682.105306962084,145.299119686951,15:20:04:324
682.412484176726,145.454100827914,15:20:04:334
680.034932560306,147.706745619014,15:20:04:345
680.018676702461,147.989975871256,15:20:04:355
679.708988435787,148.394853231523,15:20:04:367
680.09529422408,148.550142057944,15:20:04:379
681.389469389839,149.477400911344,15:20:04:394
683.067153174818,151.085122544763,15:20:04:401
683.076756654798,152.31503050407,15:20:04:415
683.544837536613,155.115757727935,15:20:04:425
683.604022694667,155.268058706179,15:20:04:434
684.9317299721,156.381818138841,15:20:04:445
685.833193950569,156.149539979697,15:20:04:456
686.279743699612,156.215762419092,15:20:04:467
686.643331098464,156.000190651983,15:20:04:479
686.846044154301,155.859780531343,15:20:04:493
686.364814098841,155.903341940577,15:20:04:502
686.559387477021,155.330413990278,15:20:04:513
687.295699671034,155.313959241511,15:20:04:525
682.285171875784,154.203357320169,15:20:04:535
681.077570288085,154.012056138262,15:20:04:547
680.960412743235,153.636111021211,15:20:04:560
682.09184251198,154.092474984134,15:20:04:596
681.800942116151,153.910015731445,15:20:04:604
681.536217700985,153.767489458128,15:20:04:606
681.325655133815,154.570114491938,15:20:04:615
681.457156169627,155.701192393547,15:20:04:623
682.35704364679,156.77694123283,15:20:04:628
682.112535272918,156.448656685591,15:20:04:634
682.184306360473,156.548328229931,15:20:04:646
681.928401652189,157.097344680218,15:20:04:656
681.676948853403,157.68274097219,15:20:04:666
681.215253415413,154.352754348091,15:20:04:680
680.469733694272,155.178248618364,15:20:04:689
680.127257096611,154.613439659552,15:20:04:700
679.923485482147,153.570570846197,15:20:04:713
680.087599203275,153.820896222698,15:20:04:723
681.18990537511,156.544554754712,15:20:04:732
681.410560218414,157.351164453086,15:20:04:745
679.466872965935,155.571468443794,15:20:04:755
678.433692907979,154.336954479075,15:20:04:768
679.425249218448,152.683733171552,15:20:04:783
681.294695527699,151.057827944713,15:20:04:788
681.545047287319,150.891962202641,15:20:04:810
681.070365129197,151.046913654182,15:20:04:811
679.983712313401,151.658640021921,15:20:04:825
677.86054352687,151.409002253235,15:20:04:869
651.05817616495,154.135317708235,15:20:04:871
548.722976618316,165.3261544577,15:20:04:874
371.166888591474,181.225998146433,15:20:04:876
326.6402275471,185.095622487637,15:20:04:877
291.148987422459,188.629934563415,15:20:04:889
268.619186402521,192.654639745308,15:20:04:899
245.253332787064,196.32189819434,15:20:04:911
223.589329976426,199.248017671719,15:20:04:922
215.602621341212,199.859708894965,15:20:04:932
216.657026676587,198.408528798462,15:20:04:944
212.528323495895,199.223394095105,15:20:04:957
210.464866110257,202.130678925424,15:20:04:966
211.471759725889,202.066281655813,15:20:04:978
210.866659427795,201.637440869341,15:20:04:989
211.497572147859,202.490189073118,15:20:04:999
208.878491404235,204.081300914016,15:20:05:014
199.324590702709,210.939494487723,15:20:05:023
193.83937973887,215.327150264833,15:20:05:037
193.098009327566,216.345385744479,15:20:05:044
192.57036296697,217.189869948987,15:20:05:056
192.034808587826,217.653846188108,15:20:05:066
189.507610929106,219.021918867855,15:20:05:078
188.989287718544,219.142830134694,15:20:05:093
189.164166060418,220.861014860996,15:20:05:104
189.259596829774,220.18466324221,15:20:05:111
188.462729788787,220.521384302761,15:20:05:121
187.354338306926,220.947756990579,15:20:05:132
186.54679524724,220.602096801368,15:20:05:147
186.381572003018,222.372396880101,15:20:05:155
186.093313143182,221.457697076637,15:20:05:168
182.10999401658,214.244735586739,15:20:05:177
149.823150021447,154.241598579407,15:20:05:189
145.100680283919,143.198529891582,15:20:05:199
143.489183797075,139.032916212432,15:20:05:210
141.96011069628,132.459990334483,15:20:05:222
141.114317383379,128.119041348387,15:20:05:247
139.989648550555,124.971154750268,15:20:05:310
137.602128456498,123.723873380459,15:20:05:312
136.8404490721,123.109788172433,15:20:05:315
140.755394131889,123.100362274682,15:20:05:316
140.209420150703,123.672223082746,15:20:05:317
138.681261010195,126.860894716916,15:20:05:318
138.666774230444,127.14502201728,15:20:05:321
138.16838770425,127.620010184088,15:20:05:322
137.550749622164,127.956438832733,15:20:05:332
137.064935069571,128.127632921454,15:20:05:344
136.741101687136,126.850290199635,15:20:05:355
136.933217261597,124.679777182603,15:20:05:366
137.107095733551,123.585969142259,15:20:05:377
137.323958648222,124.221352474886,15:20:05:388
137.757497129774,124.662386054073,15:20:05:399
139.865637558805,124.787651171281,15:20:05:411
140.479147646202,125.767103072137,15:20:05:422
140.08229006496,126.535680027404,15:20:05:433
138.895270080052,125.592618750819,15:20:05:445
138.447784323445,124.906347001369,15:20:05:455
138.272997952246,124.931293209231,15:20:05:465
138.592089582178,124.905290554793,15:20:05:477
137.012577829286,123.741612151817,15:20:05:488
136.779410331978,124.748989579935,15:20:05:499
138.313994214765,130.763116448433,15:20:05:511
145.885563595347,168.963986766789,15:20:05:522
146.260835212409,173.138003737328,15:20:05:538
146.309519802838,174.232184119857,15:20:05:545
148.261230493161,182.742356760546,15:20:05:556
149.465315097459,187.519858294921,15:20:05:567
149.852732353982,190.465976574061,15:20:05:578
146.367284709254,193.759658726752,15:20:05:590
147.722157061117,193.717637232955,15:20:05:600
147.06027957953,192.562949817646,15:20:05:612
145.299784420579,189.467126995623,15:20:05:623
145.595614721023,190.090144108491,15:20:05:635
145.496620443554,188.702892388464,15:20:05:645
145.594154523184,188.99594346038,15:20:05:656
145.259909843044,188.81612643426,15:20:05:665
146.390455722382,188.926196954164,15:20:05:677
147.09075081099,188.403875704513,15:20:05:690
147.633321680363,188.395012345839,15:20:05:700
148.537294973221,189.138080069287,15:20:05:712
149.220010513155,189.779406501036,15:20:05:727
149.917517668873,188.100420610301,15:20:05:734
150.149741564971,188.760136590981,15:20:05:743
151.026323178758,189.561725671964,15:20:05:757
152.764123354408,188.627856149449,15:20:05:766
152.721628320281,188.735296600289,15:20:05:778
152.982940186947,188.482355955255,15:20:05:789
152.382153868123,187.283664406111,15:20:05:798
154.43764229235,195.595871098179,15:20:05:810
163.367108408436,214.846685934882,15:20:05:821
197.9886154296,319.161580698995,15:20:05:832
200.36694283058,324.988230923196,15:20:05:844
204.699226317879,335.020963575509,15:20:05:855
207.647048114831,342.174185880585,15:20:05:865
210.998588359119,349.70794790253,15:20:05:878
216.866727597801,362.640578698403,15:20:05:890
227.235419376923,389.641921929442,15:20:05:900
232.278833517139,402.74090032979,15:20:05:911
239.881959319209,409.094170881873,15:20:05:923
240.453834346639,409.712920320011,15:20:05:933
240.601487974727,410.129332671087,15:20:05:945
240.875292311744,411.377586545009,15:20:05:956
240.390352594864,411.75332593647,15:20:05:966
236.685127575178,412.001894237225,15:20:05:978
236.417931191851,411.698123208146,15:20:05:991
235.792345148056,411.847600738631,15:20:06:000
236.817380170576,412.53538849028,15:20:06:011
235.273409548733,411.894590176654,15:20:06:023
234.00257214277,411.652897315402,15:20:06:033
233.030190280418,411.413110373421,15:20:06:044
232.978827302016,412.784149802326,15:20:06:055
233.088637203292,429.264840832589,15:20:06:066
231.381961713135,454.206090014515,15:20:06:081
231.415971532012,467.249665693969,15:20:06:100
231.485536132884,485.508188963866,15:20:06:102
231.816218537581,493.627318310107,15:20:06:112
231.968992527209,503.438181354854,15:20:06:125
232.179984211174,509.650535887102,15:20:06:134
232.252703457813,515.892627037173,15:20:06:144
231.862267437608,515.86739304446,15:20:06:156
232.382802254383,514.548005578557,15:20:06:165
232.580861219947,513.735936957779,15:20:06:178
232.836626735919,512.187172506199,15:20:06:190
233.146846083841,512.628396843203,15:20:06:200
232.949776108123,511.8161111949,15:20:06:211
231.600169236428,510.707796873997,15:20:06:229
229.584628548974,508.555097163076,15:20:06:233
229.458150415603,508.478505791593,15:20:06:245
229.872595747193,508.50001380526,15:20:06:256
231.060524286208,508.029392045031,15:20:06:266
233.714384196243,508.922591301177,15:20:06:279
233.285088521653,508.677047213668,15:20:06:291
229.10739403642,513.334999079659,15:20:06:300
228.455547839878,513.45370870452,15:20:06:312
228.637965879595,512.621406246955,15:20:06:324
227.986935369455,511.754686852888,15:20:06:332
223.501715223026,495.553245077433,15:20:06:343
211.245408050034,451.904925303488,15:20:06:354
195.194837421342,358.250088289111,15:20:06:365
193.966820335429,350.664483233725,15:20:06:377
191.935011077297,340.267332775375,15:20:06:388
190.683033440916,334.593124783638,15:20:06:398
190.134620040488,329.556078450445,15:20:06:410
189.125153059916,316.980512756563,15:20:06:421
188.385269488594,306.973578636389,15:20:06:432
186.940174439526,299.32996570175,15:20:06:443
186.449297071743,290.729477654152,15:20:06:455
188.031175773003,286.665146088901,15:20:06:465
188.223058146823,284.05131288573,15:20:06:476
187.724636480529,281.323406761107,15:20:06:487
187.49878367706,280.479491571594,15:20:06:497
187.331503636164,280.130509349803,15:20:06:509
187.199838073329,280.003409664613,15:20:06:522
184.618033020738,280.764665640856,15:20:06:530
162.160982728543,292.804429748939,15:20:06:542
63.3906688169845,332.425650180056,15:20:06:589
21.9536488317956,338.487370448204,15:20:06:598
-238.366823059583,375.749751499747,15:20:06:611
-162.978722471691,349.457365283971,15:20:06:623
-153.065433154261,340.56771250886,15:20:06:633
-195.124189100102,339.656219254295,15:20:06:645
101.325698680769,233.109851295608,15:20:06:656
119.634607180881,230.518807943386,15:20:06:666
128.358947337122,227.631840612225,15:20:06:678
132.917556373619,223.219019947053,15:20:06:689
147.345082716563,215.989825721719,15:20:06:700
147.662171744064,214.423276109624,15:20:06:710
148.579963903321,212.935611316914,15:20:06:728
148.064450762247,209.967441510255,15:20:06:732
147.750812963552,209.833139685537,15:20:06:744
147.988131198613,207.166484432601,15:20:06:755
148.003888692866,206.86254477935,15:20:06:765
147.307391923919,207.648239023317,15:20:06:775
146.308631842366,207.633625129674,15:20:06:787
144.860675564949,207.264392545218,15:20:06:797
144.053824379494,207.115957466212,15:20:06:809
143.756411222654,205.068897966455,15:20:06:820
140.349971970518,202.582999539633,15:20:06:833
131.828060365707,193.326315309301,15:20:06:843
123.024028477522,183.377085544292,15:20:06:855
119.725305872067,178.258134462683,15:20:06:866
118.664781511281,176.711223568787,15:20:06:877
114.740626059114,171.903653223305,15:20:06:888
111.795447221733,168.365502710556,15:20:06:900
110.268096273926,166.769109570112,15:20:06:912
108.810213658161,164.249413795761,15:20:06:921
109.512307806702,165.557655346004,15:20:06:931
109.806303486349,169.395601790214,15:20:06:947
109.199305696336,168.187086305755,15:20:06:955
109.056193225097,169.232772160135,15:20:06:964
109.185417484676,169.811368223184,15:20:06:976
108.485842904405,172.493838172824,15:20:06:988
109.338747073947,176.243656720938,15:20:06:998
110.744955600318,176.696870541098,15:20:07:011
115.341555160709,175.46939223908,15:20:07:023
113.531721553349,175.733397222882,15:20:07:033
118.462325926956,172.39319431631,15:20:07:043
117.213904924175,172.239446731288,15:20:07:054
117.171106444666,164.963887152411,15:20:07:066
116.952255636906,164.320694269975,15:20:07:078
117.289078210479,161.394158395001,15:20:07:089
116.943547001686,158.222427966693,15:20:07:099
116.87589999797,156.091796478871,15:20:07:111
117.585503571076,156.3402433686,15:20:07:123
118.380815534515,157.550891781748,15:20:07:132
118.114920341403,156.99769918182,15:20:07:143
116.996780355634,155.313176806036,15:20:07:155
116.565130242127,153.538835878651,15:20:07:165
116.772027898664,153.89620147884,15:20:07:177
115.644122624907,154.56660030566,15:20:07:188
114.899201175095,155.037323500003,15:20:07:199
115.072606086587,155.358884302914,15:20:07:209
115.394102215496,155.028241964896,15:20:07:221
121.447906471184,152.244804454968,15:20:07:233
119.017875246375,153.215868934703,15:20:07:243
120.256932872713,152.945593313785,15:20:07:255
122.277851459415,151.993506322007,15:20:07:266
122.947002165837,150.532340594802,15:20:07:281
125.348232409252,149.152849853247,15:20:07:289
126.241433839146,148.476759755354,15:20:07:299
127.986341328351,146.767265759965,15:20:07:310
127.292319565699,144.015506062242,15:20:07:322
127.475164164027,143.894188813379,15:20:07:331
127.742969311171,143.939403047293,15:20:07:343
128.752584162569,144.245057068622,15:20:07:355
128.884128090636,146.822792433152,15:20:07:365
129.399986018761,148.136593370055,15:20:07:376
128.492877820662,146.7264904881,15:20:07:388
128.159141214066,146.801448751767,15:20:07:397
129.466670982144,148.070819954846,15:20:07:409
130.197581661751,149.433214615217,15:20:07:420
135.788172306943,157.422936948053,15:20:07:431
150.008885301875,180.492496097357,15:20:07:442
161.96526958183,196.589525577368,15:20:07:455
164.256374942794,200.581135904713,15:20:07:465
166.977403961471,205.123003104587,15:20:07:476
169.449679290293,209.127496375915,15:20:07:489
170.688088651872,211.308529107754,15:20:07:499
179.082750001938,226.570343815026,15:20:07:510
179.205603513067,229.964582124122,15:20:07:522
178.199675499129,230.598820597558,15:20:07:531
177.570082428983,231.152969247976,15:20:07:542
176.457460208653,231.408895806997,15:20:07:553
175.687410142118,231.21020255231,15:20:07:564
176.332332361889,231.32780412194,15:20:07:575
176.182992984041,231.172267928517,15:20:07:587
177.06481895763,231.78132052889,15:20:07:597
177.029517651864,232.119552574163,15:20:07:609
176.703615104603,231.673088248094,15:20:07:620
177.662704551282,232.572074467396,15:20:07:631
180.725266332573,232.466739411117,15:20:07:642
195.181721860154,234.513980470942,15:20:07:653
202.883101674847,237.247486673242,15:20:07:664
211.620519383277,240.269706945959,15:20:07:675
215.874391886496,241.455864740114,15:20:07:687
222.010415434156,242.696694966628,15:20:07:697
228.344155933087,244.682320371796,15:20:07:709
230.661012369427,245.535360964858,15:20:07:721
233.246900863441,246.605698238472,15:20:07:732
233.59950538197,246.754916830428,15:20:07:744
232.963458964113,245.454860996462,15:20:07:754
232.849994387773,245.165606281552,15:20:07:765
