x,y,tempo
1132.66281368517,100.653605544609,16:00:44:002
1131.91214513907,101.147245077272,16:00:44:013
1132.66547181993,101.084835014714,16:00:44:023
1130.55429697364,102.689278671182,16:00:44:034
1127.53063431655,101.996509574299,16:00:44:046
1126.60153813676,102.056319135048,16:00:44:056
1126.80832522441,101.908749284076,16:00:44:068
1127.12489301733,101.824602881489,16:00:44:081
1126.1400166045,102.536542888922,16:00:44:090
1125.83980904332,103.400440714812,16:00:44:102
1126.35727525083,104.386237807548,16:00:44:113
1127.07805674754,104.916504128966,16:00:44:123
1127.51510131635,105.936650802558,16:00:44:135
1128.50501118808,108.410223548936,16:00:44:147
1128.62193203149,109.08259517901,16:00:44:156
1128.19808468745,109.615926313619,16:00:44:168
1106.23323428123,114.735597742268,16:00:44:183
996.353583346255,138.852277101457,16:00:44:190
653.803656039463,198.217765794799,16:00:44:202
559.77205688454,215.004308489709,16:00:44:215
542.840324077997,217.941471263524,16:00:44:223
525.095572258414,220.995506799827,16:00:44:235
503.251361085431,224.864759134097,16:00:44:246
452.254479073296,233.799559234429,16:00:44:257
309.454136134853,258.720118046514,16:00:44:268
299.516969209223,260.772497431699,16:00:44:280
287.747518666047,262.427923029418,16:00:44:289
287.37482459948,262.425992204661,16:00:44:302
285.13031095184,264.241329360103,16:00:44:312
285.849833174674,265.459407879869,16:00:44:330
286.161328642716,266.077931855316,16:00:44:335
287.279464548885,268.356892919771,16:00:44:353
287.162593879773,268.753289883479,16:00:44:356
287.13394308165,269.604191029097,16:00:44:367
287.431583359189,271.048448112615,16:00:44:386
287.767840706595,273.651087018554,16:00:44:390
287.676787287447,272.300204832333,16:00:44:401
289.374807376853,278.723468468139,16:00:44:414
290.090692617406,281.068789944916,16:00:44:423
289.983369080956,284.02057625192,16:00:44:434
290.125503152308,285.754644510247,16:00:44:473
290.529811199211,286.500268082532,16:00:44:496
291.126081406727,287.035719114004,16:00:44:499
291.639449404446,286.924822773121,16:00:44:506
291.529283516025,287.706711154295,16:00:44:509
291.013545473128,287.855921999421,16:00:44:512
290.874894103837,289.372337193101,16:00:44:516
290.128262942806,290.718722871316,16:00:44:524
289.374285386632,293.270866960436,16:00:44:543
289.181995926932,294.33461603933,16:00:44:546
288.518968745191,294.812467732395,16:00:44:557
288.70012378375,295.270145670297,16:00:44:568
287.448715259934,294.219107715379,16:00:44:579
287.846823660011,293.744322505618,16:00:44:591
286.395862767469,292.643132880241,16:00:44:602
283.623969672477,290.162577645858,16:00:44:613
282.982360501344,289.962874174041,16:00:44:623
282.73393031335,288.909354853305,16:00:44:635
278.418424254556,284.724472657914,16:00:44:646
280.746864096514,283.624891630853,16:00:44:657
290.331331962589,274.829098909661,16:00:44:667
325.083378219989,223.977310183979,16:00:44:679
333.518576679914,208.404695940387,16:00:44:688
330.631269180237,200.407291840273,16:00:44:700
322.152076466653,186.575497404357,16:00:44:712
322.199010374913,190.038695092125,16:00:44:722
322.692216770718,188.955392175068,16:00:44:735
322.497377287353,182.353115834541,16:00:44:746
325.214160191214,186.09313792449,16:00:44:770
322.660557066308,181.469167946368,16:00:44:779
320.708465100555,175.209733571178,16:00:44:785
321.994919407109,166.462813979095,16:00:44:789
316.930647080825,160.238966564268,16:00:44:800
192.500401694565,178.278650495202,16:00:44:987
192.500401694565,178.278650495202,16:00:44:991
192.500401694565,178.278650495202,16:00:45:003
187.864037906195,175.598709043987,16:00:45:181
187.864037906195,175.598709043987,16:00:45:192
187.864037906195,175.598709043987,16:00:45:203
193.245298225549,192.099152137514,16:00:45:383
199.574868800064,205.599089079498,16:00:45:394
201.219745983503,205.79265403656,16:00:45:406
205.116328316917,209.95605559243,16:00:45:415
207.699834650324,208.026830026247,16:00:45:428
203.635098454537,207.760551110458,16:00:45:504
201.788040895175,204.720936688192,16:00:45:516
196.027381520488,204.365433633223,16:00:45:526
212.142779454188,220.712658771126,16:00:45:537
218.909732273125,227.771575561885,16:00:45:548
230.69950925162,226.232660734893,16:00:45:583
232.672699967824,230.228150291842,16:00:45:594
231.860088491204,231.222605194606,16:00:45:606
230.360452173056,232.135165067157,16:00:45:616
227.162178024094,231.667161855722,16:00:45:627
229.400825365732,232.078952631684,16:00:45:638
166.19148271691,202.208822910043,16:00:45:706
192.823063866355,213.203055220074,16:00:45:717
194.283145824414,211.984621979963,16:00:45:728
166.737410986239,198.01024770486,16:00:45:739
180.280188591517,205.369702692341,16:00:45:749
167.788150095006,205.13203022255,16:00:45:760
172.282844943759,203.263606264688,16:00:45:802
180.893121248684,195.068854895947,16:00:45:804
179.631369027606,189.311602350143,16:00:45:805
173.816496692484,191.830253699508,16:00:45:816
171.44638489311,188.15699174438,16:00:45:826
181.285664505994,182.78832290232,16:00:45:837
174.010041673679,155.900974572316,16:00:45:905
199.009508890787,156.705776507505,16:00:45:925
223.909827231182,153.464587218545,16:00:45:927
263.77924212356,149.834509172254,16:00:45:939
274.053865676254,149.75206130009,16:00:45:949
275.644449112293,151.064185226685,16:00:45:961
275.03634336503,152.223211474274,16:00:45:974
274.567907736482,153.369512365054,16:00:45:983
275.386176988257,158.514914995391,16:00:45:995
277.069927696086,162.949344466692,16:00:46:005
278.959225756275,168.966065325226,16:00:46:017
279.50385372379,170.250105792131,16:00:46:026
278.43262500258,169.709588329831,16:00:46:038
130.825406532199,127.818362631955,16:00:46:127
78.8954483403946,114.316143531694,16:00:46:138
74.306760635428,110.985808680525,16:00:46:150
70.4739510712103,102.616593651946,16:00:46:159
71.5523569593328,74.4776834918097,16:00:46:171
83.5340115353594,75.4580356915619,16:00:46:182
83.1702279850315,76.3824249123354,16:00:46:193
86.9781308944896,79.2768211945886,16:00:46:204
97.8955212473052,86.0129470798944,16:00:46:216
138.14556423536,91.5574202014058,16:00:46:228
140.259471526338,90.9063041516954,16:00:46:237
134.9955412216,92.8104298031312,16:00:46:248
84.3404206873372,99.4293909770987,16:00:46:293
90.619551589908,94.528622618607,16:00:46:305
67.9637390104759,89.1243009253503,16:00:46:316
47.5131186918731,86.9911548729157,16:00:46:328
69.0261858195292,78.4412479839185,16:00:46:338
91.4931052303467,75.2579740617006,16:00:46:349
99.1063715293052,77.1738633286457,16:00:46:361
101.057121766423,76.7647222838418,16:00:46:371
103.858633150502,81.9414082907647,16:00:46:383
106.741749435855,87.7326917194253,16:00:46:394
110.867944035578,94.1306449647935,16:00:46:406
110.590451352831,96.0286631839779,16:00:46:417
113.739181676112,94.8873202509195,16:00:46:430
127.815455684496,99.0440839800174,16:00:46:439
158.944073550584,110.5721734743,16:00:46:450
182.768245660074,124.163409717808,16:00:46:460
188.101111660239,127.969336508558,16:00:46:474
196.613376647639,133.626796209336,16:00:46:483
210.900453480428,145.573484086185,16:00:46:494
212.096965031423,149.472608125815,16:00:46:504
214.969885409486,157.784187243577,16:00:46:516
215.736898523516,164.267860031747,16:00:46:527
216.051889820518,164.726008242818,16:00:46:538
218.383557312596,169.107722434728,16:00:46:549
220.187554430972,173.490991112519,16:00:46:560
226.120898869,182.492380239162,16:00:46:571
235.621190842391,195.244185550887,16:00:46:582
241.936652012546,203.397287350447,16:00:46:593
244.645824536988,208.182358000575,16:00:46:604
246.825357310847,212.120547639218,16:00:46:616
246.159873011906,215.206588008438,16:00:46:627
246.976963191731,217.294873262184,16:00:46:638
247.557377681169,223.948742098684,16:00:46:649
248.500066921867,228.923139377523,16:00:46:660
249.54811531735,232.956761733575,16:00:46:672
251.424709181958,234.837331994491,16:00:46:682
253.401933948296,238.643839924902,16:00:46:694
257.599591895808,244.486422842275,16:00:46:704
259.219999409743,245.783004500208,16:00:46:716
257.619178873733,244.930873232536,16:00:46:726
258.227867165952,244.858516454831,16:00:46:738
268.903282594383,247.285391000096,16:00:46:749
310.43851727087,250.331410312823,16:00:46:760
337.956188330194,250.06073551755,16:00:46:771
344.750388707798,250.9060263724,16:00:46:783
349.337495260474,251.209917608213,16:00:46:794
355.631878541287,252.882452623309,16:00:46:804
359.975777273878,253.833166133312,16:00:46:816
366.141670789387,256.426544035857,16:00:46:827
367.066197496435,257.001085751268,16:00:46:839
367.790915895848,259.739766431189,16:00:46:850
366.361363208343,260.184944445254,16:00:46:861
366.213194210222,259.846306236516,16:00:46:872
366.645172188849,260.560311870378,16:00:46:882
367.666356970783,263.500147568555,16:00:46:894
367.624952244729,263.220103962562,16:00:46:904
368.353485288762,264.12092234537,16:00:46:915
373.521724800045,267.396905440302,16:00:46:926
374.540672016784,268.914281570161,16:00:46:937
373.526751932946,268.276890898304,16:00:46:948
365.44078869465,268.483393518125,16:00:46:960
347.237456767041,260.009683837085,16:00:46:970
322.501987033197,243.612597259677,16:00:46:982
268.112567862731,201.00468057004,16:00:46:993
262.035044332444,195.785077126529,16:00:47:007
251.347821230323,186.882288643785,16:00:47:015
244.505547059792,181.619656297106,16:00:47:027
235.689839527509,174.277345770508,16:00:47:038
197.345853784496,144.284124926021,16:00:47:049
