x,y,tempo
1117.43489139138,101.413247101106,12:21:48:004
1117.13137987234,101.780846289815,12:21:48:010
1117.11413918322,101.891739059353,12:21:48:019
1117.11550907997,102.069730939397,12:21:48:032
1117.12287395393,101.802485956915,12:21:48:044
1117.74546276698,98.5383282451289,12:21:48:056
1118.54232271425,98.1323980820873,12:21:48:068
1119.44111583351,96.2108530453728,12:21:48:079
1119.59601016658,95.9246763618647,12:21:48:087
1119.6673046852,95.7997778315266,12:21:48:098
1119.82876395903,95.8178668650066,12:21:48:109
1119.80324530074,95.9462429219386,12:21:48:118
1119.86468230045,95.8947028782485,12:21:48:132
1119.73696316488,96.4674463841002,12:21:48:144
1120.2582138539,96.204836339368,12:21:48:151
1120.16968668575,98.3641965275155,12:21:48:165
1120.08084643405,99.9182090438001,12:21:48:180
1119.80760017826,100.268855961035,12:21:48:185
1117.724768802,99.5104591403286,12:21:48:199
1117.11012204381,98.5657484382352,12:21:48:211
1117.06267765147,98.473982109853,12:21:48:219
1117.11841027116,98.5456324922605,12:21:48:233
1119.24457790593,93.4059738825847,12:21:48:247
1119.41433642242,92.9810088875056,12:21:48:262
1122.73442861477,88.6461329990271,12:21:48:268
1121.09186913571,90.4892238803517,12:21:48:282
1122.50852929134,87.5774552019068,12:21:48:287
1122.53273571797,87.3406313449711,12:21:48:303
1120.64004836885,85.5326899499868,12:21:48:311
1116.90819241766,86.112340732986,12:21:48:319
1118.13299361426,85.4905467655549,12:21:48:332
1118.16115942327,85.4097621336466,12:21:48:368
847.293320258284,102.543284803483,12:21:48:369
812.047148476736,105.897890396564,12:21:48:379
615.566728505001,122.508286382637,12:21:48:381
522.622442188107,130.137745660406,12:21:48:386
440.09347695895,134.608020677747,12:21:48:398
383.246685203922,137.918731686606,12:21:48:409
340.7936629146,140.533879603525,12:21:48:419
336.272530235398,141.2962874476,12:21:48:432
347.378804650951,141.043448790708,12:21:48:442
313.4802153305,144.764665556432,12:21:48:453
312.681659104499,144.650763595488,12:21:48:464
312.079476947341,143.623554456249,12:21:48:475
312.041242758597,142.75222749602,12:21:48:485
311.669286891045,140.877888127794,12:21:48:498
311.028262918409,140.722209930763,12:21:48:508
271.33648867392,129.188013262456,12:21:48:519
222.218770655107,123.121068039564,12:21:48:531
218.487691704573,122.216551069653,12:21:48:542
216.638270981852,121.65231304886,12:21:48:552
213.780452205758,119.136121122438,12:21:48:568
209.880406354898,117.772674084137,12:21:48:575
208.732197870479,115.946905249813,12:21:48:585
209.425114726091,116.289694942373,12:21:48:598
207.554399520153,108.566550627203,12:21:48:609
204.775038253516,107.501695812634,12:21:48:620
201.565268061628,104.485240440629,12:21:48:631
201.194395013766,104.952059779751,12:21:48:647
200.933440222944,102.744518804695,12:21:48:652
201.302632810287,102.687434277135,12:21:48:665
202.280271722093,102.798993766145,12:21:48:676
204.658324104632,103.000632680068,12:21:48:685
203.180513803494,103.191589431776,12:21:48:698
202.903606132967,103.700650020828,12:21:48:709
202.784407147905,104.56989314764,12:21:48:719
203.935724118911,105.521863777469,12:21:48:732
204.499190447675,104.498903604019,12:21:48:744
204.608230676054,104.685932266961,12:21:48:785
204.449804002265,106.081216564239,12:21:48:787
204.619403695931,107.413951073276,12:21:48:788
204.489934385279,107.644095761997,12:21:48:789
204.482240359853,108.831884645592,12:21:48:800
204.018156364907,110.811138587832,12:21:48:809
204.352602687742,111.988172391784,12:21:48:820
204.165840649428,111.848967330274,12:21:48:832
204.464240327504,111.393969712848,12:21:48:844
205.706806815527,108.499901733966,12:21:48:852
207.170751368396,106.975792975219,12:21:48:864
205.69827101451,108.265771011311,12:21:48:875
228.873728248366,115.168571004943,12:21:48:885
253.114178559009,122.388968816721,12:21:48:898
315.951552017587,159.986393667573,12:21:48:908
321.591922210599,163.317900004145,12:21:48:918
324.767600227284,164.956926726535,12:21:48:932
328.854919608323,166.596403610283,12:21:48:943
332.311025560224,168.185303294924,12:21:48:954
335.337803057511,169.750195962356,12:21:48:966
323.510489853071,162.483537457309,12:21:48:977
345.735636862641,176.728279632576,12:21:48:987
346.607338465075,176.88842963745,12:21:48:999
347.085247010983,173.081515797393,12:21:49:010
348.062347715703,171.579412869432,12:21:49:020
348.564057826699,171.243135470529,12:21:49:032
349.778720670294,172.416133284626,12:21:49:042
330.630080835414,173.269633529495,12:21:49:052
287.650823342423,175.514208977739,12:21:49:064
199.623560911719,162.949862095668,12:21:49:078
193.892745522348,162.092716870826,12:21:49:086
184.428129976945,162.31093832271,12:21:49:099
180.409503168428,163.292720345982,12:21:49:109
176.302167501902,163.645898445762,12:21:49:121
169.722688521174,163.734393121058,12:21:49:135
184.436859641523,168.114132854458,12:21:49:143
148.876935645169,164.500331211795,12:21:49:152
149.963514004082,167.806574590361,12:21:49:166
149.546387561437,165.836285735908,12:21:49:177
149.497723891334,165.998899588173,12:21:49:187
149.110945768105,162.29204025043,12:21:49:199
149.125665076871,162.202499529239,12:21:49:212
149.08517173237,162.777008721449,12:21:49:221
148.612565145513,164.446335989075,12:21:49:233
147.301863849079,166.172328188914,12:21:49:242
146.592143658815,166.833572247217,12:21:49:253
146.089656517275,167.644102207163,12:21:49:265
145.618846041892,169.59903851243,12:21:49:274
146.656851538756,169.239104066779,12:21:49:285
146.450597854031,170.264280608464,12:21:49:297
147.359714040731,168.078731210968,12:21:49:310
147.125842099277,164.803953573334,12:21:49:320
147.113098031672,164.030722589869,12:21:49:332
147.233592945716,164.097000504803,12:21:49:343
149.501180126334,164.587727506181,12:21:49:359
149.963745458921,163.988875082478,12:21:49:366
149.03498489417,163.096124503392,12:21:49:376
147.988091259491,162.310780483564,12:21:49:387
147.136740155794,162.829837411029,12:21:49:399
146.342264643669,163.434506119282,12:21:49:409
144.983729572062,164.455171121623,12:21:49:423
144.040427651238,164.960383399606,12:21:49:437
142.81012666214,163.604436299771,12:21:49:444
134.551210935832,128.402872687093,12:21:49:453
131.039035705828,116.824144659372,12:21:49:464
128.519312583522,107.740989958345,12:21:49:475
127.314505780429,102.007798331341,12:21:49:485
128.039874145364,79.795406114844,12:21:49:498
127.749449817199,78.4877626866833,12:21:49:508
127.083886440114,77.5160706847613,12:21:49:519
122.317337970623,76.6755528031348,12:21:49:532
120.40265338882,78.3895163867949,12:21:49:542
121.224958080993,78.1707979949301,12:21:49:554
120.402060604506,78.6915050863162,12:21:49:565
122.001275939412,80.370652034717,12:21:49:577
122.23600732625,80.4097770066192,12:21:49:587
122.412708243409,80.1858655362909,12:21:49:597
122.412914058548,80.0547504995449,12:21:49:610
121.553195544693,79.6670156983567,12:21:49:618
121.297083318417,79.2164757359118,12:21:49:632
122.369382093867,79.2442077192441,12:21:49:643
122.272187038691,76.4955999459849,12:21:49:653
